name|time_stamps|label_time_stamps(window=5)
Ceacuteline Fiot |39 |0_39 
Anirban Mahanti |39 44 |0_39 1_44 
Peter G. Jeavons |44 |0_44 
Yufei Tao |29 34 39 44 |0_29 1_34 0_39 0_44 
Hideaki Hata |44 |0_44 
Milind Tambe |19 24 29 34 39 44 |0_19 0_24 0_29 0_34 0_39 0_44 
Yehia Taher |39 |0_39 
Endong Xun |29 |0_29 
Nathanael Fillmore |39 |0_39 
Emmanuel Filiot |39 |0_39 
Guven Fidan |39 |0_39 
Jian Peng 0001 |39 44 |0_39 0_44 
Manling Li |44 |0_44 
Simone Stumpf |34 39 |0_34 0_39 
Rong-Hua Li |39 44 |0_39 1_44 
Rossano Schifanella |39 44 |0_39 1_44 
Zhenlin Wang |44 |0_44 
B. Lomov |04 |0_04 
Jessica Su |44 |0_44 
Claudine Pradelles |19 |0_19 
H. C. Heacox |04 |0_04 
Huaigu Wu |39 |0_39 
Chaochao Chen |44 |0_44 
Joon S. Lim |39 |0_39 
Daniela Grigori |29 39 |0_29 0_39 
Joaquim Macedo |44 |0_44 
David Scott Gerstl |29 |0_29 
Spyros Angelopoulos 0001 |34 39 44 |0_34 0_39 0_44 
Pablo Cordero |44 |0_44 
Viktor Zigo |34 |0_34 
Anna Bramanti-Gregor |19 24 |0_19 0_24 
Shuai Yang |44 |0_44 
Xu Jia |39 |0_39 
William Phillips |34 |0_34 
Yann Vieacutemont |14 |0_14 
Kewei Tu |39 44 |1_39 0_44 
Randal J. Peters |24 |0_24 
Lek-Heng Lim |39 44 |0_39 0_44 
Kun-Lung Wu |24 29 34 39 |0_24 1_29 0_34 0_39 
Evan P. C. Jones |44 |0_44 
Qing Da |44 |0_44 
Masayuki Okamoto |39 |0_39 
Luca de Alfaro |39 44 |0_39 1_44 
Giang Binh Tran |44 |0_44 
Valerie Gregg |29 |0_29 
Henry S. Vieira |44 |0_44 
Joseph M. Hellerstein |24 29 34 39 44 |0_24 0_29 0_34 1_39 1_44 
Bryan R. Routledge |44 |0_44 
Martin Ester |24 29 34 39 44 |0_24 1_29 1_34 1_39 1_44 
Rajesh Shenoy |39 |0_39 
Michael Schwantner |19 |0_19 
Xiaodong Wu |34 |0_34 
Stephen P. Boyd |34 39 44 |0_34 0_39 0_44 
Bjoumlrn THORNoacuter Joacutensson 0001 |24 |0_24 
Lihua Wu |39 |0_39 
Brandon Sterne |39 |0_39 
Ruichao Shi |44 |0_44 
Daniel Fredouille |34 |0_34 
Fuyan Zhang |34 |0_34 
Emmanuel Kounalis |19 |0_19 
Lin Yuan |34 |0_34 
Javier Artiles |34 39 |0_34 0_39 
Fuhao Zou |44 |0_44 
Cheng Wang |44 |0_44 
Salvador Trujillo |39 |0_39 
Bei Yu |34 39 |1_34 0_39 
Balaji Krishnapuram |34 39 |0_34 1_39 
Tao Wang |34 39 44 |0_34 0_39 1_44 
Jason D. Lohn |34 |0_34 
Jidong Chen |39 44 |0_39 0_44 
Ian A. Macleod |14 |1_14 
Abdel-rahman Mohamed |44 |0_44 
Seungjin Choi |34 39 44 |0_34 1_39 1_44 
Barbara Bauer |44 |0_44 
Wang Meng |39 |0_39 
P. S. Krishnaprasad |24 |0_24 
Huseyin Oktay |39 |0_39 
David W. Opitz |24 29 |0_24 0_29 
Hadi Hosseini |44 |0_44 
Pierre-Henri Wuillemin |34 |0_34 
Bin Shen |39 44 |1_39 0_44 
Wan Zou |44 |0_44 
Ming Yan |44 |0_44 
Olivier Bernard |29 |0_29 
Patrick Palmer |14 |0_14 
Benjamin Melamed |29 |0_29 
Brian F. White |29 |0_29 
Baoxiang Wang |44 |0_44 
P. Cotton |09 |0_09 
Grzegorz Cielniak |34 |0_34 
Raz Lin |34 39 44 |1_34 0_39 0_44 
Murilo Saraiva de Queiroz |39 |0_39 
Vreixo Formoso |39 |0_39 
Jie-Bing Yu |24 29 |0_24 0_29 
Hani Neuvirth |39 |0_39 
Henry F. Korth |14 19 24 29 34 |0_14 0_19 0_24 0_29 0_34 
Jinchuan Shi |44 |0_44 
P. Bruce Berra |19 |1_19 
Richard Glassey |39 44 |0_39 0_44 
Franco Mana |19 |0_19 
Bob Williamson |44 |0_44 
Piotr J. Gmytrasiewicz |19 24 29 34 44 |0_19 0_24 0_29 0_34 0_44 
Qi Yan |39 |0_39 
Freacutedeacuteric Gagnon |34 |0_34 
Alexander Golovko |34 |0_34 
Wing Lau |39 |0_39 
Alexander Bachlechner |29 |0_29 
Sheng Huang |39 |0_39 
Tsai-Yen Li |39 |0_39 
Arif Ghafoor |19 24 29 34 44 |0_19 0_24 0_29 0_34 0_44 
Arthur B. Baskin |14 |0_14 
Douglas K. Barry |24 |0_24 
M. Maruf Hossain |39 |0_39 
Shahid Jabbar |34 |0_34 
Nan Zhang |44 |0_44 
Manal Al Ghamdi |44 |0_44 
Marco Aragone |34 |0_34 
Debjani Roychoudhury |39 |0_39 
Paul Duumltting |39 |0_39 
Donald B. Rubin |34 |1_34 
Ulrich Reimer |14 29 |1_14 1_29 
Richard S. Zemel |29 34 39 44 |0_29 0_34 0_39 1_44 
Andrey Shestakov |44 |0_44 
Albert Jonathan |44 |0_44 
Licheng Yu |44 |0_44 
Bruno Jedynak |44 |0_44 
Evangelos P. Markatos |39 |0_39 
Jing Sun 0008 |44 |0_44 
Konstantin Voevodski |44 |0_44 
Alessandro Roncato |39 |0_39 
Janice Skorstad |19 |0_19 
Gary Strohm |14 |0_14 
Tzu-Ming Kuo |44 |0_44 
Chenqiang Gao |44 |0_44 
Jiangxin Wang |39 |0_39 
Guichun Hua |39 |0_39 
Carl M. O'Brien |19 |0_19 
Monte Zweben |19 24 |0_19 0_24 
Adriano C. M. Pereira |39 44 |0_39 0_44 
Christian Schallhart |39 44 |0_39 0_44 
Randall D. Beer |14 |0_14 
Aloiacutesio Carlos de Pina |34 |0_34 
Hala Mostafa |44 |0_44 
Andrew Gelsey |24 |0_24 
P. Gokul Chander |24 |0_24 
Patrick MacAlpine |44 |0_44 
Huitong Qiu |44 |0_44 
Uwe Reyle |14 |0_14 
Austin Waters |39 |0_39 
Majed Alzahrani |44 |0_44 
Roger L. West |44 |0_44 
Bogomil Kovachev |39 44 |0_39 0_44 
Mary F. Fernandez |29 |0_29 
Li Wei |34 39 |1_34 0_39 
Marjon Blondeel |44 |0_44 
Ceriel J. H. Jacobs |44 |0_44 
Chris Bracegirdle |44 |0_44 
Motoyuki Kawaba |44 |0_44 
Stephen D. Scott |24 34 39 44 |0_24 1_34 0_39 1_44 
David K. Hsiao |04 09 14 19 |0_04 0_09 0_14 0_19 
Yibo Zhu |44 |0_44 
Erin Paeng |44 |0_44 
Joeumll Quinqueton |14 34 |0_14 0_34 
Michael W. Floyd |44 |0_44 
Ziwei Liu |34 44 |0_34 0_44 
Dieter Merkel |34 |0_34 
Armin B. Cremers |14 34 39 |0_14 0_34 0_39 
Ginevra Virginia Lombardi |44 |0_44 
Deb Galdes |19 |0_19 
Claude-Nicolas Fiechter |29 |0_29 
Liang Wu |44 |1_44 
Roman Rosipal |34 |0_34 
Pritish Narayanan |44 |0_44 
Juan Cao |39 44 |0_39 1_44 
Arnaud Ponchon |34 |0_34 
Juan Liu |44 |1_44 
Jiankun Liao |39 |0_39 
J. Leo |14 |0_14 
Gaogang Xie |39 |0_39 
Martin Holm Jensen |44 |0_44 
Jaap Kamps |34 39 44 |0_34 0_39 0_44 
Y. H. Chin |14 |0_14 
Ton Wessling |34 |0_34 
Feng Liu |39 |1_39 
Thomas Roth-Berghofer |39 |0_39 
Neeran M. Karnik |34 |1_34 
Vibhor Rastogi |39 44 |1_39 1_44 
Michael D. Smith 0001 |39 |0_39 
Gordana Pavlovic-Lazetic |14 |0_14 
Juan Lei |44 |0_44 
Tapana Gupta |39 |0_39 
Yang Ge |34 |0_34 
Colin L. Carter |29 |0_29 
V. Akhutin |04 |0_04 
Alberto Martelli |04 09 |0_04 0_09 
